order_number;created_at;total_ht;status;shipping_mode;payment_method;tax_amount;total_ttc;type;siret;company_name;first_name;last_name;civility;address;address2;postcode;town;pays;email;function;mobile;tel;fax;siret_ship;company_name_ship;first_name_ship;last_name_ship;civility_ship;address_ship;address2_ship;postcode_ship;town_ship;pays_ship;email_ship;function_ship;mobile_ship;tel_ship;fax_ship;id_ligne;id_produit;store;libelle;quantite;montant_ht;montant_ttc;total_ht;tva;duree_engagement;innovant;id_group;sku;category_ids;type_produit;createur_entreprise;portabilite_rio;portabilite_numero;portabilite_date;type_client;device;origin;idiccFrontal;CodeOffre;OrdreIce;type_acte
100009526;28/08/2017 15:46;40.00;En attente;;rib;;;offre_internet;5,22607E+13;;Isabelle;MORIN;Mme;49 rue pierre brossolette;;92300;levallois perret;France;;;655664477;145197344;;5,22607E+13;;Isabelle;MORIN;Mme;49 rue pierre brossolette;;92300;levallois perret;France;mbenmounah.ext@orange.com;;655664477;145197344;;2;4299;internet;Livebox Pro;1;5.00;6.00;5.00;20.00;;;1;DEFAULT_4299;127,128;internet;;;;;PROSPECT;desktop;boutique;;;;
100009526;28/08/2017 15:46;40.00;En attente;;rib;;;offre_internet;5,22607E+13;;Isabelle;MORIN;Mme;49 rue pierre brossolette;;92300;levallois perret;France;;;655664477;145197344;;5,22607E+13;;Isabelle;MORIN;Mme;49 rue pierre brossolette;;92300;levallois perret;France;mbenmounah.ext@orange.com;;655664477;145197344;;4;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
100009528;28/08/2017 15:57;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;1;8100;internet;Internet pro fibre équilibre;1;35.00;35.00;35.00;0.00;;;1;DEFAULT_8100;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009528;28/08/2017 15:57;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;2;4299;internet;Livebox Pro;1;5.00;6.00;5.00;20.00;;;1;DEFAULT_4299;127,128;internet;;;;;PROSPECT;desktop;boutique;;;;
100009528;28/08/2017 15:57;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;4;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
WCE264363;30/08/2017 10:43;96.50;En attente de validation des documents;;rib;19.30;115.80;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;1;7568;telephone_mobile;LG K3 bleu 8Go;1;1.00;1.20;1.00;20.00;;innovant1;1;224689;13,54,97;mobile;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE264363;30/08/2017 10:43;96.50;En attente de validation des documents;;rib;19.30;115.80;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;2;7049;telephone_mobile;Performance pro initial voix;1;19.00;22.80;19.00;20.00;24-mois;innovant1;1;DEFAULT_7049;13,55,108;forfait;;02E111111J7B;601010101;30/09/2017;PROSPECT;desktop;boutique;;;;Foisonnement
WCE264363;30/08/2017 10:43;96.50;En attente de validation des documents;;rib;19.30;115.80;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;3;3038;telephone_mobile;Facture Electronique;1;0.00;0.00;0.00;20.00;;classique;1;FEL;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE264363;30/08/2017 10:43;96.50;En attente de validation des documents;;rib;19.30;115.80;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;4;6867;telephone_mobile;alerte conso utilisateur;1;1.50;1.80;1.50;20.00;;classique;1;DEFAULT_6867;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE264363;30/08/2017 10:43;96.50;En attente de validation des documents;;rib;19.30;115.80;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;5;5754;telephone_mobile;Répondeur Premium;1;60.00;72.00;60.00;20.00;;classique;1;Messagerie Prem;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE264363;30/08/2017 10:43;96.50;En attente de validation des documents;;rib;19.30;115.80;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;6;4403;equipements;Etui club XL;1;15.00;18.00;15.00;20.00;;;1;3,57121E+12;7,29,72;equipement;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE273843;30/08/2017 10:46;88.90;En attente;;rib;17.78;106.68;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;1;7051;default;Performance pro initial;1;29.00;34.80;29.00;20.00;24-mois;innovant1;1;DEFAULT_7051;13,55,108;forfait;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE273843;30/08/2017 10:46;88.90;En attente;;rib;17.78;106.68;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;19.90;23.88;19.90;20.00;;innovant1;1;224025;13,54,97;mobile;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE273843;30/08/2017 10:46;88.90;En attente;;rib;17.78;106.68;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;3;3373;default;abondance 21 h vers fixes Maghreb;1;15.00;18.00;15.00;20.00;;classique;1;abondance-21-h-;;option_perso;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE273843;30/08/2017 10:46;88.90;En attente;;rib;17.78;106.68;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;4;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
E292288;30/08/2017 10:48;25.00;En attente;colissimo;cheque;5.00;30.00;equipement;;TEST TEST;TEST;TEST;Sté;rue de paradis;;75010;PARIS 10;France;;;600000000;;;;;;;;;;;;;;;;;;1;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;OBS;desktop;boutique;;;;
WCE252501;30/08/2017 10:54;100.00;En attente;;facturation;20.00;120.00;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7060;default;Performance pro intense;1;65.00;78.00;65.00;20.00;24-mois;innovant3;1;DEFAULT_7060;13,55,108;forfait;;02E111111J7B;601010101;31/10/2017;OBS;MOBILE;boutique;;;;Foisonnement
WCE252501;30/08/2017 10:54;100.00;En attente;;facturation;20.00;120.00;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;1.00;1.20;1.00;20.00;;innovant3;1;224025;13,54,97;mobile;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE252501;30/08/2017 10:54;100.00;En attente;;facturation;20.00;120.00;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;2270;default;carte jumelle;1;5.00;6.00;5.00;20.00;;classique;1;SKU-OPM-9;;option_perso;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE252501;30/08/2017 10:54;100.00;En attente;;facturation;20.00;120.00;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;3820;equipements;Support auto universel Samsung;1;29.00;34.80;29.00;20.00;;;1;8,80609E+12;7,29,81,83;equipement;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE257337;30/08/2017 10:56;439.90;En attente;;facturation;87.98;527.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7663;telephone_mobile;Sony Xperia XZ bleu 32Go;1;439.90;527.88;439.90;20.00;;;1;225336;13,54,125;mobile;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE258822;30/08/2017 10:56;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7028;telephone_mobile;forfait smart pro 5Go;1;19.99;23.99;19.99;20.00;sans engagement;smartpro;1;DEFAULT_7028;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE258822;30/08/2017 10:56;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;10933;telephone_mobile;Facture Électronique Certifiée;1;0.00;0.00;0.00;20.00;;classique;1;FEC;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE258822;30/08/2017 10:56;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;3173;telephone_mobile;assistance 706;1;5.00;6.00;5.00;20.00;;classique;1;assistance706;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE258822;30/08/2017 10:56;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;9544;telephone_mobile;ePresse (25 titres);1;14.69;17.63;14.69;20.00;;classique;1;ePresse-20-cred;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE267757;30/08/2017 11:27;304.90;En attente;;facturation;60.98;365.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;5213;telephone_mobile;Samsung Galaxy Tab Active noir 16Go;1;149.90;179.88;149.90;20.00;;innovant2;1;221597;13,58,103;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE267757;30/08/2017 11:27;304.90;En attente;;facturation;60.98;365.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;3595;telephone_mobile;Business Everywhere pro Initial;1;26.00;31.20;26.00;20.00;12-mois;innovant2;1;DEFAULT_3595;13,55,109;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE267757;30/08/2017 11:27;304.90;En attente;;facturation;60.98;365.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;5289;telephone_mobile;pack info media (ePresse, deezer);1;10.00;12.00;10.00;20.00;;classique;1;apps_packinfo;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE267757;30/08/2017 11:27;304.90;En attente;;facturation;60.98;365.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;5032;equipements;Mini chargeur secteur 2A micro USB;1;10.00;12.00;10.00;20.00;;;1;3,57121E+12;7,29,76;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE267757;30/08/2017 11:27;304.90;En attente;;facturation;60.98;365.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;5;5660;equipements;Casque Backbeat Sense Plantronics;1;109.00;130.80;109.00;20.00;;;1;5,03359E+12;7,153;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
100009588;30/08/2017 11:35;44.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;1;8101;internet;Internet pro fibre intense;1;44.00;52.80;44.00;20.00;;;1;DEFAULT_8101;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
WCE273350;30/08/2017 11:46;618.90;En attente;;facturation;123.78;742.68;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;5856;telephone_mobile;Samsung Galaxy S7 edge noir 32Go;1;569.90;683.88;569.90;20.00;;;2;223817;13,54,125;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE273350;30/08/2017 11:46;618.90;En attente;;facturation;123.78;742.68;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;5881;equipements;Coque cuir Samsung S7 Edge noir;1;49.00;58.80;49.00;20.00;;;2;8,80609E+12;7,29,72;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
COM170830002489;30/08/2017 11:46;200.60;En attente;;facturation;40.12;240.72;mobile;5,42063E+13;MONVOISIN ASSURANCES;Antonio;ABBRUZZESE;M;3 RUE DES ALOUETTES;;94320;THIAIS;France;;;;164835232;;;;;;;;;;;;;;;;;1;6999;telephone_mobile;Samsung Galaxy J3 2016 noir 8Go;1;139.90;167.88;139.90;20.00;;;1;224025;13,54,97;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
COM170830002489;30/08/2017 11:46;200.60;En attente;;facturation;40.12;240.72;mobile;5,42063E+13;MONVOISIN ASSURANCES;Antonio;ABBRUZZESE;M;3 RUE DES ALOUETTES;;94320;THIAIS;France;;;;164835232;;;;;;;;;;;;;;;;;2;4393;telephone_mobile;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;2;5,03359E+12;7,29,74;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
COM170830002489;30/08/2017 11:46;200.60;En attente;;facturation;40.12;240.72;mobile;5,42063E+13;MONVOISIN ASSURANCES;Antonio;ABBRUZZESE;M;3 RUE DES ALOUETTES;;94320;THIAIS;France;;;;164835232;;;;;;;;;;;;;;;;;3;3820;telephone_mobile;Support auto universel Samsung;1;29.00;34.80;29.00;20.00;;;3;8,80609E+12;7,29,81,83;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
COM170830002489;30/08/2017 11:46;200.60;En attente;;facturation;40.12;240.72;mobile;5,42063E+13;MONVOISIN ASSURANCES;Antonio;ABBRUZZESE;M;3 RUE DES ALOUETTES;;94320;THIAIS;France;;;;164835232;;;;;;;;;;;;;;;;;4;3191;telephone_mobile;Pack Multiadaptateur SIM;1;6.70;8.04;6.70;20.00;;;4;3,56129E+12;7,29,79;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE269803;30/08/2017 11:49;29.99;En attente;;facturation;6.00;35.99;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;7028;telephone_mobile;forfait smart pro 5Go;1;19.99;23.99;19.99;20.00;sans engagement;smartpro;2;DEFAULT_7028;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE269803;30/08/2017 11:49;29.99;En attente;;facturation;6.00;35.99;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;10934;telephone_mobile;Facture Électronique;1;0.00;0.00;0.00;20.00;;classique;2;FEC;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE269803;30/08/2017 11:49;29.99;En attente;;facturation;6.00;35.99;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;5;3619;telephone_mobile;Abondance Europe USA - Canada sans engagement;1;10.00;12.00;10.00;20.00;;classique;2;abon_europe_sma;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
33G20000510000000001;05/09/2017 09:26;0.00;Enregistré;;;20.00;0.00;internet;4,22202E+13;MARSAC;Bénédicte;MARSAC;M;;;;;France;;;;607603201;;;;;;;;;;;;;;;;;1;4273;internet;IP fixe;1;0.00;0.00;0.00;20.00;;;1;DEFAULT_4273;127,129;option_internet;;;;;PROSPECT;desktop;boutique;;;;
33G20000510000000003;05/09/2017 11:29;1.67;Enregistré;;;20.00;2.00;internet;3,17834E+13;THIROBOIS;Marie-Hélèn;THIROBOIS;M;;;;;France;;;;100000000;;;;;;;;;;;;;;;;;1;4276;internet;Gigamail;1;1.67;2.00;1.67;20.00;;;1;DEFAULT_4276;127,129,133,134,135;option_internet;;;;;PROSPECT;MOBILE;boutique;;;;
100009756;05/09/2017 14:20;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;1;8103;internet;La fibre pro équilibre;1;55.00;66.00;55.00;20.00;;;1;DEFAULT_8103;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009756;05/09/2017 14:20;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;3;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
WCE268229;05/09/2017 14:24;219.90;En attente;;facturation;43.98;263.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;8089;telephone_mobile;Samsung Galaxy Xcover4 noir 16Go;1;219.90;263.88;219.90;20.00;;;1;226486;13,54,97,125;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE259475;05/09/2017 14:29;44.99;En attente;;facturation;9.00;53.99;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7028;telephone_mobile;forfait smart pro 5Go;1;19.99;23.99;19.99;20.00;sans engagement;smartpro;1;DEFAULT_7028;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE259475;05/09/2017 14:29;44.99;En attente;;facturation;9.00;53.99;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;3173;telephone_mobile;assistance 706;1;5.00;6.00;5.00;20.00;;classique;1;assistance706;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE259475;05/09/2017 14:29;44.99;En attente;;facturation;9.00;53.99;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;3620;telephone_mobile;Abondance Asie - Moyen Orient - Océanie sans engagement ;1;20.00;24.00;20.00;20.00;;classique;1;abon_asie_smart;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
100009757;05/09/2017 14:32;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;TEST;;75005;PARIS 05;France;;;601010101;145391663;;1,22222E+13;;test;test;Mme;TEST;;75005;PARIS 05;France;marjolaine.avinen@orange.com;;601010101;145391663;;1;8103;internet;La fibre pro équilibre;1;55.00;66.00;55.00;20.00;;;1;DEFAULT_8103;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
WCE252481;05/09/2017 14:33;104.90;En attente;;facturation;20.98;125.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7052;telephone_mobile;Performance pro équilibre;1;45.00;54.00;45.00;20.00;24-mois;innovant1;1;DEFAULT_7052;13,55,108;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE252481;05/09/2017 14:33;104.90;En attente;;facturation;20.98;125.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;7916;telephone_mobile;Samsung Galaxy A3 2017 noir 16 Go;1;59.90;71.88;59.90;20.00;;innovant1;1;226112;97;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE276252;05/09/2017 14:38;156.90;En attente de validation des documents;;rib;31.38;188.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;1;8089;telephone_mobile;Samsung Galaxy Xcover4 noir 16Go;1;69.90;83.88;69.90;20.00;;innovant3;1;226486;13,54,97,125;mobile;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE276252;05/09/2017 14:38;156.90;En attente de validation des documents;;rib;31.38;188.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;2;7060;telephone_mobile;Performance pro intense;1;72.00;86.40;72.00;20.00;12-mois;innovant3;1;DEFAULT_7060;13,55,108;forfait;;02E111111J7B;601010101;31/10/2017;PROSPECT;desktop;boutique;;;;Foisonnement
WCE276252;05/09/2017 14:38;156.90;En attente de validation des documents;;rib;31.38;188.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;3;6330;telephone_mobile;assurance vol;1;6.00;7.20;6.00;20.00;;innovant1;1;assurance vol;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE276252;05/09/2017 14:38;156.90;En attente de validation des documents;;rib;31.38;188.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;4;5841;telephone_mobile;assurance casse et vol;1;9.00;10.80;9.00;20.00;;innovant1;1;assurance casse;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
E263249;05/09/2017 14:45;25.00;En attente;colissimo;cheque;5.00;30.00;equipement;;TEST TEST;TEST;TEST;Sté;rue de paradis;;75010;PARIS 10;France;;dev;600000000;;;;;;;;;;;;;;;;;;1;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;OBS;desktop;boutique;;;;
WCE287031;05/09/2017 14:54;124.90;En attente;;rib;24.98;149.88;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;1;7052;default;Performance pro équilibre;1;45.00;54.00;45.00;20.00;24-mois;innovant1;1;DEFAULT_7052;13,55,108;forfait;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE287031;05/09/2017 14:54;124.90;En attente;;rib;24.98;149.88;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;19.90;23.88;19.90;20.00;;innovant1;1;224025;13,54,97;mobile;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE287031;05/09/2017 14:54;124.90;En attente;;rib;24.98;149.88;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;3;3373;default;abondance 21 h vers fixes Maghreb;1;15.00;18.00;15.00;20.00;;classique;1;abondance-21-h-;;option_perso;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE287031;05/09/2017 14:54;124.90;En attente;;rib;24.98;149.88;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;4;3374;default;abondance 21 h vers fixes Asie-Moyen Orient-Océanie;1;20.00;24.00;20.00;20.00;;classique;1;abondance Asie-;;option_perso;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE287031;05/09/2017 14:54;124.90;En attente;;rib;24.98;149.88;mobile;1,22222E+13;TEST;test;test;Mme;82 rue d'Hauteville;;75010;PARIS 10;France;;test;601010101;;;;;;;;;;;;;;;;;;5;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE282645;05/09/2017 15:17;44.68;En attente;;facturation;8.94;53.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;dev;612121212;;;;;;;;;;;;;;;;;;1;7028;telephone_mobile;forfait smart pro 5Go;1;19.99;23.99;19.99;20.00;sans engagement;smartpro;1;DEFAULT_7028;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE282645;05/09/2017 15:17;44.68;En attente;;facturation;8.94;53.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;dev;612121212;;;;;;;;;;;;;;;;;;2;3173;telephone_mobile;assistance 706;1;5.00;6.00;5.00;20.00;;classique;1;assistance706;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE282645;05/09/2017 15:17;44.68;En attente;;facturation;8.94;53.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;dev;612121212;;;;;;;;;;;;;;;;;;3;2270;telephone_mobile;carte jumelle;1;5.00;6.00;5.00;20.00;;classique;1;SKU-OPM-9;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE282645;05/09/2017 15:17;44.68;En attente;;facturation;8.94;53.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;dev;612121212;;;;;;;;;;;;;;;;;;4;9544;telephone_mobile;ePresse (25 titres);1;14.69;17.63;14.69;20.00;;classique;1;ePresse-20-cred;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
